domain_name,response_code,blockpage,cloudflare_blockpage,number_of_script_tags,dns_name,address,ip_response_code,ip_blockpage,ip_cloudflare_blockpage,ip_number_of_script_tags,default_dns,isp_name_speedtest,time_date,domain_is_live_anywhere,domain_request_works,ip_is_live_anywhere,ip_is_live_in_other_ISPs,ip_request_works,default_dns_returns_different_ip_addresses,default_dns_returns_different_script_tags,public_dns_ips_not_mode
http://login.outlook.tx7.fr,200,0,0,5.0,Cloudflare,212.129.37.99,200,False,False,5.0,0,Telstra Internet,8/06/2021 15:39,True,True,True,True,True,False,False,False
http://mail.glui.eu/,200,0,0,10.0,MyDNS,151.80.80.206,200,False,False,0.0,1,Optus,8/06/2021 14:43,True,True,True,True,True,False,False,False
http://mail.glui.eu/,200,0,0,10.0,GoogleDNS,151.80.80.206,200,False,False,0.0,0,Optus,8/06/2021 14:43,True,True,True,True,True,False,False,False
http://mail.glui.eu/,200,0,0,10.0,Cloudflare,151.80.80.206,200,False,False,0.0,0,Optus,8/06/2021 14:43,True,True,True,True,True,False,False,False
http://mail.glui.eu/,ERROR,0,0,,MyDNS,151.80.80.206,200,False,False,0.0,1,Australian Academic and Research Network,8/06/2021 15:10,True,False,True,True,True,False,False,False
http://mail.glui.eu/,ERROR,0,0,,GoogleDNS,151.80.80.206,200,False,False,0.0,0,Australian Academic and Research Network,8/06/2021 15:10,True,False,True,True,True,False,False,False
http://mail.glui.eu/,ERROR,0,0,,Cloudflare,151.80.80.206,200,False,False,0.0,0,Australian Academic and Research Network,8/06/2021 15:10,True,False,True,True,True,False,False,False
http://mail.glui.eu/,200,0,0,10.0,MyDNS,151.80.80.206,200,False,False,0.0,1,Telstra Internet,8/06/2021 15:39,True,True,True,True,True,False,False,False
http://mail.glui.eu/,200,0,0,10.0,GoogleDNS,151.80.80.206,200,False,False,0.0,0,Telstra Internet,8/06/2021 15:39,True,True,True,True,True,False,False,False
http://mail.glui.eu/,200,0,0,10.0,Cloudflare,151.80.80.206,200,False,False,0.0,0,Telstra Internet,8/06/2021 15:39,True,True,True,True,True,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,MyDNS,217.160.0.88,404,False,False,0.0,1,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,GoogleDNS,217.160.0.88,404,False,False,0.0,0,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,Cloudflare,217.160.0.88,404,False,False,0.0,0,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,MyDNS,217.160.0.88,404,False,False,0.0,1,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,GoogleDNS,217.160.0.88,404,False,False,0.0,0,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,Cloudflare,217.160.0.88,404,False,False,0.0,0,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,MyDNS,217.160.0.88,404,False,False,0.0,1,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,GoogleDNS,217.160.0.88,404,False,False,0.0,0,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://miltonwoods.co.uk,200,0,0,0.0,Cloudflare,217.160.0.88,404,False,False,0.0,0,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://netflix-us.readywitted.com,200,0,0,0.0,MyDNS,67.23.235.220,200,False,False,0.0,1,Optus,8/06/2021 14:43,True,True,True,True,True,False,False,False
http://netflix-us.readywitted.com,200,0,0,0.0,GoogleDNS,67.23.235.220,200,False,False,0.0,0,Optus,8/06/2021 14:43,True,True,True,True,True,False,False,False
http://netflix-us.readywitted.com,200,0,0,0.0,Cloudflare,67.23.235.220,200,False,False,0.0,0,Optus,8/06/2021 14:43,True,True,True,True,True,False,False,False
http://netflix-us.readywitted.com,200,0,0,0.0,MyDNS,67.23.235.220,200,False,False,0.0,1,Australian Academic and Research Network,8/06/2021 15:00,True,True,True,True,True,False,False,False
http://netflix-us.readywitted.com,200,0,0,0.0,GoogleDNS,67.23.235.220,200,False,False,0.0,0,Australian Academic and Research Network,8/06/2021 15:00,True,True,True,True,True,False,False,False
http://netflix-us.readywitted.com,200,0,0,0.0,Cloudflare,67.23.235.220,200,False,False,0.0,0,Australian Academic and Research Network,8/06/2021 15:00,True,True,True,True,True,False,False,False
http://netflix-us.readywitted.com,ERROR,0,0,,MyDNS,Errno11002getaddrinfofailed,ERROR,False,False,,1,Telstra Internet,8/06/2021 15:39,True,False,False,False,False,True,False,True
http://netflix-us.readywitted.com,ERROR,0,0,,Cloudflare,67.23.235.220,ERROR,False,False,,0,Telstra Internet,8/06/2021 15:39,True,False,True,True,False,True,False,False
http://oazmdon.onzdoma.top,404,0,0,0.0,GoogleDNS,202.95.19.214,200,False,False,0.0,0,Optus,8/06/2021 12:50,False,False,True,False,True,False,False,False
http://oazmdon.onzdoma.top,404,0,0,0.0,Cloudflare,202.95.19.214,200,False,False,0.0,0,Optus,8/06/2021 12:50,False,False,True,False,True,False,False,False
http://oazmdon.onzdoma.top,404,0,0,0.0,MyDNS,202.95.19.214,200,False,False,0.0,1,Optus,8/06/2021 14:15,False,False,True,False,True,False,False,False
http://oazmdon.onzdoma.top,404,0,0,0.0,GoogleDNS,202.95.19.214,200,False,False,0.0,0,Optus,8/06/2021 14:15,False,False,True,False,True,False,False,False
http://oazmdon.onzdoma.top,404,0,0,0.0,Cloudflare,202.95.19.214,200,False,False,0.0,0,Optus,8/06/2021 14:15,False,False,True,False,True,False,False,False
http://walletconnectsync.net,200,0,0,0.0,MyDNS,172.67.139.254,403,False,True,1.0,1,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,MyDNS,104.21.49.8,403,False,True,1.0,1,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
