domain_name,response_code,blockpage,cloudflare_blockpage,number_of_script_tags,isp_name_speedtest,time_date,address,ip_response_code,ip_blockpage,ip_cloudflare_blockpage,ip_number_of_script_tags,dns_name,default_dns,domain_is_live_anywhere,domain_request_works,ip_is_live_anywhere,ip_is_live_in_other_ISPs,ip_request_works,default_dns_returns_different_ip_addresses,default_dns_returns_different_script_tags,public_dns_ips_not_mode,ip_number_of_script_tags_modal,domain_number_of_script_tags_modal
https://ibit.to,200,0,0,7.0,Australian Academic and Research Network,2021-06-07 17:07:54,104.21.18.193,403,False,True,1.0,Cloudflare,0,True,True,False,False,False,False,False,False,True,True
https://onionplay.eu,200,0,0,12.0,Australian Academic and Research Network,2021-06-07 17:07:54,172.67.209.138,403,False,True,1.0,MyDNS,1,True,True,False,False,False,False,False,False,True,True
https://onionplay.eu,200,0,0,12.0,Australian Academic and Research Network,2021-06-07 17:07:54,104.21.82.243,403,False,True,1.0,MyDNS,1,True,True,False,False,False,False,False,False,True,True
https://onionplay.eu,200,0,0,12.0,Australian Academic and Research Network,2021-06-07 17:07:54,172.67.209.138,403,False,True,1.0,GoogleDNS,0,True,True,False,False,False,False,False,False,True,True
https://onionplay.eu,200,0,0,12.0,Australian Academic and Research Network,2021-06-07 17:07:54,104.21.82.243,403,False,True,1.0,GoogleDNS,0,True,True,False,False,False,False,False,False,True,True
https://onionplay.eu,200,0,0,12.0,Australian Academic and Research Network,2021-06-07 17:07:54,104.21.82.243,403,False,True,1.0,Cloudflare,0,True,True,False,False,False,False,False,False,True,True
https://onionplay.eu,200,0,0,12.0,Australian Academic and Research Network,2021-06-07 17:07:54,172.67.209.138,403,False,True,1.0,Cloudflare,0,True,True,False,False,False,False,False,False,True,True
https://torrentquest.com/,200,0,0,0.0,Australian Academic and Research Network,2021-06-07 17:07:54,104.21.77.215,403,False,True,1.0,MyDNS,1,True,True,False,False,False,False,False,False,True,True
https://torrentquest.com/,200,0,0,0.0,Australian Academic and Research Network,2021-06-07 17:07:54,172.67.211.230,403,False,True,1.0,MyDNS,1,True,True,False,False,False,False,False,False,True,True
https://torrentquest.com/,200,0,0,0.0,Australian Academic and Research Network,2021-06-07 17:07:54,104.21.77.215,403,False,True,1.0,GoogleDNS,0,True,True,False,False,False,False,False,False,True,True
https://torrentquest.com/,200,0,0,0.0,Australian Academic and Research Network,2021-06-07 17:07:54,172.67.211.230,403,False,True,1.0,GoogleDNS,0,True,True,False,False,False,False,False,False,True,True
https://torrentquest.com/,200,0,0,0.0,Australian Academic and Research Network,2021-06-07 17:07:54,104.21.77.215,403,False,True,1.0,Cloudflare,0,True,True,False,False,False,False,False,False,True,True
https://torrentquest.com/,200,0,0,0.0,Australian Academic and Research Network,2021-06-07 17:07:54,172.67.211.230,403,False,True,1.0,Cloudflare,0,True,True,False,False,False,False,False,False,True,True
https://cuevana3.io/,200,0,0,13.0,Australian Academic and Research Network,2021-06-07 17:07:54,104.26.7.61,403,False,True,1.0,MyDNS,1,True,True,False,False,False,False,False,False,True,True
