isp,domain,domain_name_blocking,ip_blocking,dns_poisoned,dns_injection
Optus,https://acrobat-cloud-services.azurewebsites.net,0.0,0.0,0.0,0.0
Australian Academic and Research Network,http://miltonwoods.co.uk,0.0,0.0,0.0,0.0
Telstra Internet,https://vh368.timeweb.ru/,0.0,0.0,0.0,0.0
Telstra Internet,http://walletconnectsync.net,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://webhostingbingo.com,0.0,0.0,0.0,0.0
Telstra Internet,https://acrobat-cloud-services.azurewebsites.net,0.0,0.0,0.0,0.0
Optus,https://animehd47.com/,0.0,0.0,1.0,0.0
Optus,http://clouddoc-authorize.firebaseapp.com,0.0,0.0,0.0,0.0
Optus,https://vh368.timeweb.ru/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://intimki.com/,0.0,0.0,0.0,0.0
